year,cluster,DPI,MDI,SMI,DPI_percentage
2016,Anticholinergic,5143812,500600,555051,83.0
2017,Anticholinergic,5108483,419816,717481,81.8
2018,Anticholinergic,4805265,344862,911991,79.3
2019,Anticholinergic,4045009,281500,1008215,75.8
2020,Anticholinergic,3430756,234043,1120577,71.7
2021,Anticholinergic,2881064,198198,1162179,67.9
2022,Anticholinergic,2409663,174202,1207752,63.6
2023,Anticholinergic,1953055,149354,1219760,58.8
2024,Anticholinergic,1579328,126419,1209454,54.2
2025,Anticholinergic,1154477,93321,1076784,49.7
2016,Combi_1,6935995,6666439,0,51.0
2017,Combi_1,6832273,7197570,0,48.7
2018,Combi_1,6554523,7631677,0,46.2
2019,Combi_1,6102025,7903770,0,43.6
2020,Combi_1,6147160,8651532,0,41.5
2021,Combi_1,5773713,8663486,0,40.0
2022,Combi_1,5884999,8604726,0,40.6
2023,Combi_1,6353609,8303681,0,43.3
2024,Combi_1,6798470,8361606,0,44.8
2025,Combi_1,6979872,7606821,0,47.9
2016,Combi_2,286790,25,24589,92.1
2017,Combi_2,616196,5127,82015,87.6
2018,Combi_2,1042797,195749,156916,74.7
2019,Combi_2,1722059,696166,230682,65.0
2020,Combi_2,2212884,1184524,294405,59.9
2021,Combi_2,2383454,1524852,319313,56.4
2022,Combi_2,2714204,1929726,344100,54.4
2023,Combi_2,3215419,2380495,353908,54.0
2024,Combi_2,3597625,2994149,359560,51.8
2025,Combi_2,3529324,3193841,317330,50.1
2016,ICS,463107,6413776,0,6.7
2017,ICS,425513,6287534,0,6.3
2018,ICS,394243,6079602,0,6.1
2019,ICS,372938,6081567,0,5.8
2020,ICS,396195,6520613,0,5.7
2021,ICS,379244,6004400,0,5.9
2022,ICS,467621,5893021,0,7.4
2023,ICS,626063,5550191,0,10.1
2024,ICS,614172,5251149,0,10.5
2025,ICS,427439,3877553,0,9.9
2016,LABA,281829,554855,1416,33.6
2017,LABA,242360,456153,2250,34.6
2018,LABA,204846,375640,2585,35.1
2019,LABA,169801,312067,2598,35.0
2020,LABA,145106,270740,2790,34.7
2021,LABA,121626,224866,2448,34.9
2022,LABA,105097,186704,2317,35.7
2023,LABA,88319,149676,2023,36.8
2024,LABA,71206,121951,1906,36.5
2025,LABA,52455,88011,1593,36.9
2016,Other,17,11155,0,0.2
2017,Other,15,10490,0,0.1
2018,Other,9,9881,0,0.1
2019,Other,9,9225,0,0.1
2020,Other,12,7956,0,0.2
2021,Other,13,5697,0,0.2
2022,Other,14,1032,0,1.3
2023,Other,18,119,0,13.1
2024,Other,23,26,0,46.9
2025,Other,3,9,0,25.0
2016,SABA,1351585,20787232,0,6.1
2017,SABA,1289380,20575976,0,5.9
2018,SABA,1227881,20232798,0,5.7
2019,SABA,1192469,20391707,0,5.5
2020,SABA,1215588,20879566,0,5.5
2021,SABA,1131429,19711876,0,5.4
2022,SABA,1354779,20032591,0,6.3
2023,SABA,1665854,19311597,0,7.9
2024,SABA,1740676,18644358,0,8.5
2025,SABA,1497337,14221107,0,9.5
