PERIOD,total_items,total_actual_cost,total_nic
201612,383609,10652905.66753877,11468919.820000067
201701,383787,11055221.153651245,11891939.410000278
201702,362377,9760440.68063969,10490242.870000064
201703,412318,10799653.661518179,11624227.540000472
201704,352990,9325544.666789552,10025454.410000551
201705,401514,10856266.92495962,11682494.520000685
201706,394889,10805364.564919261,11639543.360000754
201707,389034,10558413.452954166,11371651.850000123
201708,373800,10071350.711851846,10833426.570000216
201709,374796,9764469.28365981,10509532.680000514
201710,392050,10022897.174272984,10799349.420000179
201711,402423,10380620.048176657,11167360.39000008
201712,378019,9445054.363100208,10155941.210000023
201801,404333,10072550.969193341,10826893.400000338
201802,365018,8558994.295537874,9185862.330000222
201803,397912,9249697.466090895,9935514.079999983
201804,373067,8682998.506941378,9319483.639999922
201805,402645,9418692.946444046,10112655.930000253
201806,390967,9423078.834304143,10114428.110000005
201807,390325,8742293.76702904,9374418.780000027
201808,386385,8726620.914916659,9367712.09999997
201809,367767,8173945.520762252,8772624.929999849
201810,408824,8520899.576490289,9152007.46000011
201811,404946,8260329.087725164,8865686.169999972
201812,384899,7708775.338337021,8267279.55000002
201901,414361,8191189.7229344975,8785924.649999835
201902,380888,7700485.111898081,8256870.840000199
201903,414746,8345066.340231222,8943197.25000001
201904,391181,7538163.515242112,8076155.459999786
201905,417841,8141025.985161507,8726872.21999988
201906,393549,7715611.223308374,8265159.079999663
201907,420987,8345231.249150142,8936439.070000168
201908,388887,7627277.379631108,8176604.1200002
201909,387715,7724041.006381673,8281447.810000231
201910,427206,8270120.754914913,8866368.110000355
201911,410786,7798151.197884731,8351858.800000283
201912,409981,7876504.213294349,8434825.740000227
202001,424518,8051096.063841915,8619167.360000174
202002,398083,7543548.505558672,8066916.170000097
202003,379205,7944236.261601557,8515340.400000136
202004,299231,7246414.099628354,7763881.450000209
202005,293498,6579578.215450376,7050845.740000296
202006,294943,6517324.841816564,6986660.789999995
202007,309868,6732111.1498254165,7218686.099999934
202008,294510,6149389.75620535,6587247.23999988
202009,325822,6770444.042074809,7261445.96999987
202010,341552,7138342.258061351,7660399.339999993
202011,337422,6931047.540180163,7421823.039999901
202012,347843,7244287.40608706,7759754.190000025
202101,319029,6544294.761576286,7004095.710000093
202102,311222,6379450.856825349,6821743.000000133
202103,379280,7820707.277919793,8371524.750000126
202104,360982,7040548.105725422,7527421.859999916
202105,373055,7185557.756461167,7681193.6099999845
202106,379735,7255892.616280514,7759185.659999885
202107,382900,7122967.80973438,7606618.34000002
202108,355303,6408201.547340189,6836517.210000117
202109,370861,7201787.316742836,7694400.400000188
202110,377904,6971050.341380001,7450249.890000065
202111,389738,7241537.030430843,7731544.420000309
202112,378506,7086093.055064948,7560578.380000251
202201,368610,7026646.623268904,7481662.210000089
202202,361803,6867812.471909871,7306707.410000091
202203,408354,7738724.984547651,8242960.5800001975
202204,382010,7107612.946274324,7565768.070000137
202205,416766,7724947.599470169,8224836.46000037
202206,395569,7403865.537167296,7884113.980000293
202207,390667,7491511.283476082,7982079.720000032
202208,393034,7591999.861852205,8092345.70000022
202209,387631,7580081.097119243,8080111.030000149
202210,410993,8045365.746957481,8581820.950000213
202211,415471,7909508.158709014,8427392.320000121
202212,414225,7633311.16052853,8132868.20000015
202301,421557,8145795.892944259,8661850.970000224
202302,410413,8215726.743937571,8732213.200000424
202303,450303,8718496.941186527,9266582.060000122
202304,401261,7499063.865790752,7935779.380000168
202305,450797,8439713.740016986,8928299.010000316
202306,453402,8687841.369220575,9199468.120000059
202307,429445,8109779.668218274,8623315.540000273
202308,420457,7793495.000092988,8288607.19000029
202309,421384,7822942.070458046,8333622.54000031
202310,447274,8251632.50444994,8775383.030000262
202311,450124,8129911.667777142,8619775.340000283
202312,450965,8294799.030834673,8789043.48000029
202401,463142,8393092.52762152,8869824.310000507
202402,455801,8427008.291541072,8910325.380000355
202403,469371,8517409.658544816,9018169.740000404
202404,479388,8986806.999083318,9329519.12000051
202405,486297,9166634.532855697,9514134.360000445
202406,458266,8667775.274011882,9006787.140000261
202407,486596,9354517.52035374,9697229.660000337
202408,458215,8922200.790453319,9234138.18000036
202409,449758,8732955.405533463,9050286.470000256
202410,496373,9367928.345316691,9716565.210000385
202411,484294,9342912.62737934,9685364.740000349
202412,500998,9461316.614250058,9809544.260000408
202501,496665,9339557.948699964,9659815.639999876
202502,462402,8799059.115006546,9109276.949999575
202503,491803,9425845.87929295,9753868.599999899
202504,484584,9008091.713963458,9325365.319999967
202505,499041,9510087.732399719,9850564.630000116
202506,496087,9683535.070330044,10025021.83000033
202507,509756,9941753.378969783,10284795.640000394
202508,464342,8749052.289499985,9056035.530000022
202509,492016,9687346.692280177,10022188.560000105
