para_code,para,chapter,total_items,total_cost
041003,Opioid dependence,Central Nervous System,3915794,41042239.34591383
040201,Antipsychotic drugs,Central Nervous System,2827949,41718093.69457373
040400,CNS stimulants and drugs used for ADHD,Central Nervous System,2222287,101153637.18265763
050101,Penicillins,Infections,1954804,7303661.730862381
040303,Selective serotonin re-uptake inhibitors,Central Nervous System,1773447,10796916.00409131
040101,Hypnotics,Central Nervous System,1418615,47504297.860625476
041100,Dementia,Central Nervous System,1161440,18158247.351237215
040102,Anxiolytics,Central Nervous System,1050965,3428403.9590047724
060302,Glucocorticoid therapy,Endocrine System,1047607,6496418.25186203
040304,Other antidepressant drugs,Central Nervous System,964473,5479564.623018617
130400,Topical corticosteroids,Skin,934516,7603339.489506647
010305,Proton pump inhibitors,Gastro-Intestinal System,920299,5059137.515260282
040801,Control of epilepsy,Central Nervous System,876751,12889603.253068805
110401,Corticosteroids,Eye,828234,7043806.219229426
110600,Treatment of glaucoma,Eye,771394,10717922.761976168
040702,Opioid analgesics,Central Nervous System,763157,5873591.314806599
030401,Antihistamines,Respiratory System,749136,7966186.583744529
2130,Eye Products,Appliances,745764,8200110.649404177
100103,Rheumatic disease suppressant drugs,Musculoskeletal and Joint Diseases,644725,58730150.2044842
040701,Non-opioid analgesics and compound preparations,Central Nervous System,520942,2004116.7399371637
110301,Antibacterials,Eye,514232,4694535.647911018
100101,Non-steroidal anti-inflammatory drugs,Musculoskeletal and Joint Diseases,486220,2862204.194273422
040600,Drugs used in nausea and vertigo,Central Nervous System,463966,4980575.104754044
090102,Drugs used in megaloblastic anaemias,Nutrition and Blood,463240,639769.3270985205
020400,Beta-adrenoceptor blocking drugs,Cardiovascular System,426819,1043846.2696601605
050103,Tetracyclines,Infections,386994,2093536.123882159
120201,Drugs used in nasal allergy,"Ear, Nose and Oropharynx",385949,5708480.208294254
020802,Oral anticoagulants,Cardiovascular System,377224,9821071.273678832
010604,Osmotic laxatives,Gastro-Intestinal System,347178,3813674.855060427
050105,Macrolides,Infections,341432,2181408.825214157
